title,price,land,building,bed,bath,floor,certificate,location
"480JUTA SIAP HUNI 5 MENIT KE PASAR CEBONGAN
- SMR 336",Rp 480.000.000,100,60,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Apartemen tengah kota siap huni di apartemen vivo seturan sleman yogya,Rp 500.000.000,21,21,1,1,3,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
"480JUTA SIAP HUNI 5 MENIT KE PASAR CEBONGAN
- SMR 336",Rp 480.000.000,100,60,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Rapi siap huni furnished Mlati Sleman Jogjakarta,Rp 1.750.000.000,129,130,3,2,2,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Rumah Cluster Siap Huni di Sumberadi dekat PEMDA Sleman SCH Cebongan,Rp 635.000.000,110,60,3,2,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah 300 Jutaan di Taji Prambanan, Siap Bangun",Rp 380.000.500,123,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Strategis Kawasan Komplek Purwomartani Sleman,Rp 475.000.000,90,54,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"RUMAH JOGLO JAWA KLASIK MODERN, 500 DARI HOTEL HYATT PALAGAN",Rp 875.000.000,104,60,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Full Furnished dlm Perumahan daerah Jongke Barat Hotel Hyatt,Rp 1.400.000.000,126,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Super Strategis Termurah Hanya 400Jt-an,Rp 400.000.000,140,36,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah siap huni 345 jt dekat RSUD Sleman Yogyakarta,Rp 345.000.000,93,36,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
"Dijual Rumah Cluster Siap Bangun 300 Jutaan, Bisa Custom Design",Rp 369.950.000,90,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah Murah Tanah Luas dekat Jombor ,  JCM , SCH dan Pusat kota Jogja",Rp 1.000.000.000,395,330,&gt;10,6,,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah konsep minimalis modern di kawasan Candi Prambanan,Rp 200.000.000,0,0,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah konsep minimalis modern di kawasan Candi Prambanan,Rp 200.000.000,0,0,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
AWANA Caturharjo Cluster Exclusive dekat Polres Sleman,Rp 375.000.000,91,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Murah Villa Guesthouse Etnik Jawa,Rp 400.000.000,0,0,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Beli Rumah Gratis Furnitur Lingkungan Aman di Mlati Sleman,Rp 785.000.011,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Siap Bangun 300 Jutaan,Rp 389.000.000,93,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Siap Huni Tengah Kota Dekat Superindo Godean,Rp 570.000.000,116,71,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
KPR Rumah Jawa Modern di Prambanan,Rp 250.000.400,126,45,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"100meter dari jalan Solo  Tanah 1jt-an, Legalitas SHM",Rp 163.800.000,91,45,3,2,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
Ada potongan 50 jt Grenn Residen Caturharjo Sleman Yogyakarta,Rp 385.000.000,84,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah SIAP Bangun, bisa custom design 300 Jutaan Di Sleman, Yogyakarta",Rp 385.985.500,83,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah TerMewah Perum Elite Bale Mulia,Kavling Hoek LUas",Rp 11.000.000.000,527,400,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Khusus bulan ini harga 335 jt type 36/93 Grenn Residence,Rp 335.000.000,88,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah dijual Di Dalam Desa Wisata Rajek Wetan,Rp 600.000.000,160,160,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Rumah baru siap huni dkt fasum Mlati Sleman dan pasar Cebongan,Rp 480.000.000,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah dekat UGM di jalan damai jakal km 8,Rp 5.250.000.000,740,2700,6,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Cluster 400jutaan siap bangun di Jalan Magelang KM 16 - STL002,Rp 414.998.899,117,40,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah lantai dua mezzanine termurah di jln palagan km 15,Rp 485.000.000,120,98,2,1,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Hunian Nyaman Sleman JL Magelang Caturharjo Dkt Mlati SCH Gito Gati,Rp 510.000.000,143,91,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
,Rp 890.000.000,110,85,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru 3 Unit Strategis Di Seyegan Kota,Rp 445.000.000,106,60,2,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Rumah dalam perumahan jln kabupaten sleman,Rp 850.000.000,120,100,3,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Kraton Jogja,Rp 3.500.000.000,145,180,4,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Rumah Jogja 50 m Dari CitraGrand Waterpark 4 Kamar Tidur,Rp 1.825.000.000,109,200,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah 2 lantai dekat UGM,Rp 1.200.000.000,87,144,3,2,2,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah dekat Hotel Hyatt Palagan UGM,Rp 2.100.000.001,143,105,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dijual di perumahan casagrande maguwoharjo sleman,Rp 5.000.000.000,300,400,5,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah baru murah di green hills jakal km 9 sleman,Rp 3.000.000.000,160,147,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH SIAP HUNI DEKAT PASAR SLEMAN,Rp 500.001.515,150,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah cluster dekat perum candi dekat jogja bay maguwo,Rp 860.000.000,158,120,4,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"DALAM RINGROAD JL.GODEAN KM.2 DEKAT MIROTA,JL.KABUPATEN,TUGU,MALIOBORO",Rp 2.499.000.000,150,150,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
di jual rumah baru masih gres utara tuggu elang tajem maguwoharjo,Rp 970.000.000,126,60,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dijual cantik etnic modern,Rp 1.490.000.000,,,,,,,
Rumah Strategis di Samping Jogja City Mall Jalan Magelang,Rp 1.600.000.000,305,200,3,3,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH DI JALAN GODEAN KM 9 SEYEGAN SLEMAN DEKAT RESTO IWAK KALEN,Rp 500.000.000,100,43,2,1,,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
RUmah Luxury di tepi jalan utama dekat Sleman City Hall,Rp 2.650.000.000,449,400,3,4,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Kost eksklusif dekat UGM Jl Monjali, Pogung, Pandega,Nandan,tugu Jogja",Rp 3.300.000.000,206,240,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
