title,price,land,building,bed,bath,floor,certificate,location
Rumah Mungil di Purwomartani Timur Perumahan Pertamina,585000001,129,90,3,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
MINIMALIS Terjangkau Hanya 5 Menit Kampus UII KALIURANG,575000000,87,60,3,2,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Strategis Lingkungan Perumahan di Jalan Kaliurang km 9,1500000000,100,90,3,3,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
RUMAH MINIMALIS MODERN CANTIK DI JOGJA UTARA - SMR120,415000000,121,45,2,1,1,SHM - Sertifikat Hak Milik,"Tempel, Sleman Kab., Yogyakarta D.I."
Rumah Baru Lingkungan Padat 3 KM Dari Jogja Bay,550800000,108,45,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
"RUMAH KAVLING MODERN STRATEGIS DI SIDOARUM, GODEAN - SMR 100",830000000,151,90,3,2,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
Jual Rumah Siap Huni Di Sleman Harga Terjangkau Siap KPR,585000057,120,88,3,2,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Rumah Dijual LT:250 Perumahan Banteng Jl. Kaliurang Km. 7 dkt UGM,2900000000,150,140,5,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
RUMAH BANGUNTAPAN POTORONO JL PLERET DEKAT KOTAGEDE UAD GIWANGAN JOGJA,510000000,90,37,2,1,1,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Kode RSH 191 # Rumah Cantik  baru Siap Huni di Karangasem Patalan Jeti,400000000,120,120,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
RUMAH MEWAH MODERN STRATEGIS DEKAT JOGJA BAY - SMR 234,1500000000,97,150,5,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
rumah 200an juta tipe 36 minimalis shm imb minggir sleman,295000000,108,36,2,1,0,SHM - Sertifikat Hak Milik,"Minggir, Sleman Kab., Yogyakarta D.I."
Rumah siap bangun lokasi strategis 50 m jln Godean km 15,425000000,130,36,2,1,1,SHM - Sertifikat Hak Milik,"Moyudan, Sleman Kab., Yogyakarta D.I."
"5 Menit Stasiun Wates, Luasan 137 m2",191800000,58,30,2,1,1,HGB - Hak Guna Bangun,"Wates, Kulon Progo Kab., Yogyakarta D.I."
Rumah Siap Huni di Jl Imogiri Barat KM 12 Jetis Bantul dkt Bantul Kota,325000005,85,60,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
