title,price,types,land,building,bed,bath,floor,certificate,location,secondary_location,url
"Rumah di Jogja, Ngaglik Sleman, Rumah 2 lantai Hook, Jakal Km 8,5",1600000000,Rumah,300,160,4,5,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Gentan jakal km 11,https://www.olx.co.id/item/rumah-mewah-view-sawah-di-jakal-km-11-iid-867203640
Dijual Cepat Rumah Modern dalam Perumahan Ekslusif,1250000000,Rumah,370,300,5,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Sleman,https://www.olx.co.id/item/dijual-cepat-rumah-bagus-iid-851917814
Di jual murah rmh mewah 2lantai jakal km 10,1700000000,Rumah,125,95,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jl. Jetis, Bulusari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",https://www.olx.co.id/item/rumah-mewah-strategis-di-jakal-iid-867198166
Rumah mewah Minimalis Murah di dekat Polsek Seyegan Sleman,450000000,Rumah,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/miliki-rumah-dengan-desain-mewah-pilihan-tersendiri-iid-867197290
"Dekat SPBU Cebongan, Hunian Ideal, Lingkungan Padat Penduduk, Mlati",493000000,Rumah,101,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman",https://www.olx.co.id/item/1-lantai-luasan-lebar-padat-penduduk-legal-shm-ada-carport-iid-867193652
Ada Rumah Murah 300 Jutaan Di Seyegan Sleman?,385000086,Rumah,84,60,3,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.","Klangkapan II, Margoluwih, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561",https://www.olx.co.id/item/jual-murah-rumah-siap-huni-300-jutaan-di-godean-dekat-lapangan-seyegan-iid-867192659
"Griya Tirta Hutama 3 Mulai 400an juta, Lok. Mlati",437000000,Rumah,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Pundong I, Tirtoadi, Mlati, Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/baru-gresss-rumah-minimalis-griya-tirta-hutama-mlati-iid-867192598
Rumah Nyaman dan Lega Harga 400 Jutaan di Seyegan,425000022,Rumah,99,80,3,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.","Klangkapan II, Margoluwih, Seyegan, Sleman Regency, Special Region of Yogyakarta 55561",https://www.olx.co.id/item/rumah-luas-80-m2-hanya-400-jutaan-di-godean-ada-carport-iid-867192239
"Dijual Rumah Mewah Taman Palagan Asri Dekat Hyatt, Al Azhar, Paradise",4000000000,Rumah,215,132,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan palagan km 8,https://www.olx.co.id/item/dijual-rumah-mewah-djalan-palagan-km8-iid-867189092
Rumah Murah Cantik Modern dekat Pemda Sleman,675000789,Rumah,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Sumberadi Mlati Sleman Yogyakarta,https://www.olx.co.id/item/rumah-keren-modern-dekat-pemda-sleman-iid-867183172
Griya Mlati Indah - Rumah Mewah Tepi Jalan Magelang,1490000000,Rumah,101,110,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.","Mlati Glondong, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta",https://www.olx.co.id/item/griya-mlati-indahrumah-proses-bangun-daerah-mlati-iid-867181417
"Kavling Luasan 122m, Selatan Kampus Mercubuana",158600000,Rumah,38,33,2,1,1,HGB - Hak Guna Bangun,"Seyegan, Sleman Kab., Yogyakarta D.I.",Jln kaliurang km 11 - kec. Ngaglik Kab. Sleman - Prov. Diy,https://www.olx.co.id/item/hunian-ini-layak-anda-pilih-harga-lokasi-dan-fasilitas-oke-iid-859667715
Cluster Godean Jogja Model Etnik Harga 700 jutaan,750000000,Rumah,108,76,3,2,1,HGB - Hak Guna Bangun,"Seyegan, Sleman Kab., Yogyakarta D.I.",jalan godean km 10 klaci margoluwih seyegan sleman,https://www.olx.co.id/item/rumah-etnik-jalan-godean-km-10-dekat-kota-jogja-jalan-utama-bisa-kpr-iid-867175975
Dijual Rumah Premium 2 Lantai di dekat Pemda Sleman,985000072,Rumah,108,60,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Sleman Yogyakarta,https://www.olx.co.id/item/di-jual-rumah-di-dekat-pemda-sleman-yogyakarta-iid-867175164
Rumah full furnioshed dekat UGM Perumahan Pogung jakal km 5,1800000000,Rumah,229,110,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Jl. Jetis, Bulusari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",https://www.olx.co.id/item/rumah-mewah-strategis-jakal-km-10-5-iid-867174934
"Dijual Perumahan, Sleman D I Yogykarta",370000000,Rumah,91,40,2,1,1,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I.","Sanggrahan, Caturharjo, Sleman, D I Yogyakarta",https://www.olx.co.id/item/perumahan-cluster-murah-di-sleman-d-i-yogyakarta-iid-867171719
Rumah lantai dua mezzanine termurah di jln palagan km 15,485000000,Rumah,120,67,2,1,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","Pasar srowolan, purwobinangun,pakem,sleman atau barat jln palagan km 15",https://www.olx.co.id/item/rumah-lantai-dua-mezzanine-termurah-di-jln-palagan-km-15-iid-859778379
Griya Siap Huni Sleman JL Magelang Utara Gito Gati Cebongan SCH Mlati,510000000,Rumah,144,91,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","JL. Magelang, Caturharjo, Sleman, YK",https://www.olx.co.id/item/griya-siap-huni-sleman-jl-magelang-utara-gito-gati-cebongan-sch-mlati-iid-867171575
Unit 4KT 2LT Sleman Gito Gati Dkt Palagan Griya Taman Asri GTA Jamal,590000000,Rumah,108,66,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.","JL. Gitogati, Pandowoharjo, Sleman, Jogja",https://www.olx.co.id/item/prestisius-house-perum-gito-gati-dkt-jl-palagan-griya-taman-asri-gta-iid-867171353
DI JUAL RUMAH MURAH 2 LANTAI PROMO LEBARAN DAPATKAN MOTOR,645000000,Rumah,77,75,3,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",KASIHAN BANTUL,https://www.olx.co.id/item/rumah-murah-2-lantai-arah-bandara-hanya-25-menit-kampus-ugm-iid-867168947
Rumah Mewah Dijual Dalam Perumahan Elite Bale Agung Dekat Kampus UGM,8000000000,Rumah,463,750,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Bale agung,https://www.olx.co.id/item/dijual-murah-rum-full-furnished-perumahan-elite-bale-agung-residence-iid-864684568
Launching!! Selatan Perum Pertamina Perumahan Konsep Modern Purwo,873000990,Rumah,117,70,3,2,1,nan,"Sleman, Sleman Kab., Yogyakarta D.I.","Purwomartani, Kalasan, Sleman, Yogyakarta",https://www.olx.co.id/item/launching-hunian-eksklusif-mangku-jalan-purwomartani-diskon-20-iid-867166934
Rumah baru minimalis 2 lt dijlgodean km.3.5 dlm RR barat mirota godean,1150000000,Rumah,98,130,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",Jln godean KM 5 dalam ringroad,https://www.olx.co.id/item/rumah-dlm-ringroad-jln-godean-km-5-iid-859336946
Rumah Baru Elegant di Jln Godean km 7,1500000000,Rumah,112,100,3,2,2,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I.",Jln godean Km 7 sidoarum sleman,https://www.olx.co.id/item/rumah-baru-siap-huni-jln-godean-km-7-iid-858728380
"Perum Bumi santosa, Jual Murah Rumah Full Furnish Jalan",1200000000,Rumah,120,118,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan kaliurang KM 13 besi .,https://www.olx.co.id/item/rumah-2-lantai-dalam-perum-bumi-sentosa-bonus-full-furnish-iid-867165543
Kos Eksklusif Mewah di Jalan Kaliurang KM 13 dekat Kampus UII Terpadu,1850000000,Rumah,158,150,4,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",nan,https://www.olx.co.id/item/rumah-mewah-di-jalan-kaliurang-asri-dekat-uii-iid-534449514
Rumah Kolam Renang palagan dekat Monjali,6000000000,Rumah,400,325,4,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jalan Gito Gati,https://www.olx.co.id/item/rumah-mewah-dengan-kolam-renang-dalam-perumahan-di-palagan-iid-796682696
"RUMAH MEWAH 3 LANTAI Bebas Biaya  di 
 SEDAYU",944000000,Rumah,76,120,3,3,3,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I.",Sedayu,https://www.olx.co.id/item/promo-promo-rumah-3-lantai-di-sedayu-dekat-jl-wates-km-10-iid-842561889
Rumah Lux Baru ada 8 unit i Jln Kaliurang km 13,1245000000,Rumah,121,100,3,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I.",Jln Kaliurang km 13,https://www.olx.co.id/item/rumah-baru-lux-di-jln-kaliurang-km-13-iid-859779651
