title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
"RUMAH MEWAH TERMURAH STRATEGIS KE PUSAT KOTA JOGJA , SIAP HUNI",776000078,106,60,3,2,2,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",7320755,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Jual cepat rumah dlm cluster dekat ijip pgri kasihan,550000000,84,54,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",6547619,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
SMR 243 - RUNAH MINIMALIS CANTIK 300 JUTAAN DEKAT KAMPUS UMY,375000000,78,40,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",4807692,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
RUMAH MURAH CANTIK DI KASONGAN,400001707,80,37,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",5000021,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Dijual Rumah Kost dekat Kampus Universitas PGRI Yogyakarta,500000000,74,45,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",6756756,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah dijual murah siap huni sudah jadi dekat lapangan kasihan Jogja,575000000,157,100,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3662420,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Jual rumah di bugisan jogja,2000000000,255,85,4,2,2,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",7843137,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah di Pajangan Bantul dekat Masjid Agung Bantul Kota Area Pemukiman,320000008,80,50,2,1,1,SHM - Sertifikat Hak Milik,"Pajangan, Bantul Kab., Yogyakarta D.I.",4000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8799815, 110.3127619, 0.0)",-7.8799815,110.3127619,Sleman Regency
Hunian 3KT Kota Jogja Dekat Pasty Dongkelan JL Bantul Imogiri Sewon,515000000,88,61,3,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",5852272,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
Rumah Barat Bnatul Kota Desain Mewah di Guwosari Proses Bangun,345000002,101,46,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I.",3415841,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8221984, 110.3282052, 0.0)",-7.8221984,110.3282052,Sleman Regency
